"Retention time","Name","Intensity","cell_type"
2.0022,"BPC",0.017508072,"Epidermis"
2.006566667,"BPC",0.017867991,"Epidermis"
2.01135,"BPC",0.01922043,"Epidermis"
2.015733333,"BPC",0.017293597,"Epidermis"
2.0201,"BPC",0.017100394,"Epidermis"
2.024483333,"BPC",0.017356641,"Epidermis"
2.028866667,"BPC",0.017610013,"Epidermis"
2.03325,"BPC",0.018186181,"Epidermis"
2.037616667,"BPC",0.018244607,"Epidermis"
2.042,"BPC",0.017836959,"Epidermis"
2.046383333,"BPC",0.018132579,"Epidermis"
2.050766667,"BPC",0.017642931,"Epidermis"
2.055133333,"BPC",0.017571478,"Epidermis"
2.059516667,"BPC",0.018687004,"Epidermis"
2.0639,"BPC",0.01819864,"Epidermis"
2.068283333,"BPC",0.017531975,"Epidermis"
2.07265,"BPC",0.017601983,"Epidermis"
2.077033333,"BPC",0.01705012,"Epidermis"
2.081416667,"BPC",0.018625792,"Epidermis"
2.0858,"BPC",0.017725317,"Epidermis"
2.090166667,"BPC",0.018517066,"Epidermis"
2.09495,"BPC",0.016826945,"Epidermis"
2.099333333,"BPC",0.017222201,"Epidermis"
2.1037,"BPC",0.016739608,"Epidermis"
2.108083333,"BPC",0.017889186,"Epidermis"
2.112466667,"BPC",0.017868432,"Epidermis"
2.11685,"BPC",0.018491553,"Epidermis"
2.121216667,"BPC",0.018219518,"Epidermis"
2.1256,"BPC",0.016507339,"Epidermis"
2.129983333,"BPC",0.017582125,"Epidermis"
2.134366667,"BPC",0.01773077,"Epidermis"
2.138733333,"BPC",0.017313614,"Epidermis"
2.143116667,"BPC",0.017446527,"Epidermis"
2.1475,"BPC",0.018053656,"Epidermis"
2.151883333,"BPC",0.018304913,"Epidermis"
2.15625,"BPC",0.017735764,"Epidermis"
2.160633333,"BPC",0.01757158,"Epidermis"
2.165016667,"BPC",0.016564592,"Epidermis"
2.1694,"BPC",0.017929902,"Epidermis"
2.173766667,"BPC",0.017894612,"Epidermis"
2.17855,"BPC",0.018225978,"Epidermis"
2.182933333,"BPC",0.017912776,"Epidermis"
2.187316667,"BPC",0.01855325,"Epidermis"
2.191683333,"BPC",0.017413062,"Epidermis"
2.196066667,"BPC",0.018048544,"Epidermis"
2.20045,"BPC",0.018263264,"Epidermis"
2.204833333,"BPC",0.017766783,"Epidermis"
2.2092,"BPC",0.017758755,"Epidermis"
2.213583333,"BPC",0.018154846,"Epidermis"
2.217966667,"BPC",0.017546953,"Epidermis"
2.22235,"BPC",0.017923525,"Epidermis"
2.226716667,"BPC",0.017474561,"Epidermis"
2.2311,"BPC",0.018158206,"Epidermis"
2.235483333,"BPC",0.019467458,"Epidermis"
